Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GT","Emissions totals","036","Australia","7273","Emissions (CO2)","67292","Drained organic soils (CO2)","2000","2000","3050","FAO TIER 1","kilotonnes","2894.5414","E","Estimated value",""
"GT","Emissions totals","036","Australia","7273","Emissions (CO2)","67292","Drained organic soils (CO2)","2001","2001","3050","FAO TIER 1","kilotonnes","2891.1045","E","Estimated value",""
"GT","Emissions totals","036","Australia","7273","Emissions (CO2)","67292","Drained organic soils (CO2)","2002","2002","3050","FAO TIER 1","kilotonnes","2886.2596","E","Estimated value",""
"GT","Emissions totals","036","Australia","7273","Emissions (CO2)","67292","Drained organic soils (CO2)","2003","2003","3050","FAO TIER 1","kilotonnes","2881.4786","E","Estimated value",""
"GT","Emissions totals","036","Australia","7273","Emissions (CO2)","67292","Drained organic soils (CO2)","2004","2004","3050","FAO TIER 1","kilotonnes","2872.1954","E","Estimated value",""
"GT","Emissions totals","036","Australia","7273","Emissions (CO2)","67292","Drained organic soils (CO2)","2005","2005","3050","FAO TIER 1","kilotonnes","2872.4862","E","Estimated value",""
"GT","Emissions totals","036","Australia","7273","Emissions (CO2)","67292","Drained organic soils (CO2)","2006","2006","3050","FAO TIER 1","kilotonnes","2868.5064","E","Estimated value",""
"GT","Emissions totals","036","Australia","7273","Emissions (CO2)","67292","Drained organic soils (CO2)","2007","2007","3050","FAO TIER 1","kilotonnes","2866.1285","E","Estimated value",""
"GT","Emissions totals","036","Australia","7273","Emissions (CO2)","67292","Drained organic soils (CO2)","2008","2008","3050","FAO TIER 1","kilotonnes","2863.058","E","Estimated value",""
"GT","Emissions totals","036","Australia","7273","Emissions (CO2)","67292","Drained organic soils (CO2)","2009","2009","3050","FAO TIER 1","kilotonnes","2864.3396","E","Estimated value",""
"GT","Emissions totals","036","Australia","7273","Emissions (CO2)","67292","Drained organic soils (CO2)","2010","2010","3050","FAO TIER 1","kilotonnes","2863.8312","E","Estimated value",""
"GT","Emissions totals","036","Australia","7273","Emissions (CO2)","67292","Drained organic soils (CO2)","2011","2011","3050","FAO TIER 1","kilotonnes","2862.2868","E","Estimated value",""
"GT","Emissions totals","036","Australia","7273","Emissions (CO2)","67292","Drained organic soils (CO2)","2012","2012","3050","FAO TIER 1","kilotonnes","2862.27","E","Estimated value",""
"GT","Emissions totals","036","Australia","7273","Emissions (CO2)","67292","Drained organic soils (CO2)","2013","2013","3050","FAO TIER 1","kilotonnes","2860.7299","E","Estimated value",""
"GT","Emissions totals","036","Australia","7273","Emissions (CO2)","67292","Drained organic soils (CO2)","2014","2014","3050","FAO TIER 1","kilotonnes","2857.4043","E","Estimated value",""
"GT","Emissions totals","036","Australia","7273","Emissions (CO2)","67292","Drained organic soils (CO2)","2015","2015","3050","FAO TIER 1","kilotonnes","2857.4043","E","Estimated value",""
"GT","Emissions totals","036","Australia","7273","Emissions (CO2)","67292","Drained organic soils (CO2)","2016","2016","3050","FAO TIER 1","kilotonnes","2855.4204","E","Estimated value",""
"GT","Emissions totals","036","Australia","7273","Emissions (CO2)","67292","Drained organic soils (CO2)","2017","2017","3050","FAO TIER 1","kilotonnes","2855.4577","E","Estimated value",""
"GT","Emissions totals","036","Australia","7273","Emissions (CO2)","67292","Drained organic soils (CO2)","2018","2018","3050","FAO TIER 1","kilotonnes","2855.6433","E","Estimated value",""
"GT","Emissions totals","036","Australia","7273","Emissions (CO2)","67292","Drained organic soils (CO2)","2019","2019","3050","FAO TIER 1","kilotonnes","2857.3235","E","Estimated value",""
"GT","Emissions totals","036","Australia","7273","Emissions (CO2)","67292","Drained organic soils (CO2)","2020","2020","3050","FAO TIER 1","kilotonnes","2857.1293","E","Estimated value",""
"GT","Emissions totals","036","Australia","7273","Emissions (CO2)","6751","Forestland","2000","2000","3050","FAO TIER 1","kilotonnes","-10689.5925","E","Estimated value",""
"GT","Emissions totals","036","Australia","7273","Emissions (CO2)","6751","Forestland","2001","2001","3050","FAO TIER 1","kilotonnes","-41464.6137","E","Estimated value",""
"GT","Emissions totals","036","Australia","7273","Emissions (CO2)","6751","Forestland","2002","2002","3050","FAO TIER 1","kilotonnes","-41464.6137","E","Estimated value",""
"GT","Emissions totals","036","Australia","7273","Emissions (CO2)","6751","Forestland","2003","2003","3050","FAO TIER 1","kilotonnes","-41464.6137","E","Estimated value",""
"GT","Emissions totals","036","Australia","7273","Emissions (CO2)","6751","Forestland","2004","2004","3050","FAO TIER 1","kilotonnes","-41464.6137","E","Estimated value",""
"GT","Emissions totals","036","Australia","7273","Emissions (CO2)","6751","Forestland","2005","2005","3050","FAO TIER 1","kilotonnes","-41464.6137","E","Estimated value",""
"GT","Emissions totals","036","Australia","7273","Emissions (CO2)","6751","Forestland","2006","2006","3050","FAO TIER 1","kilotonnes","-41464.6137","E","Estimated value",""
"GT","Emissions totals","036","Australia","7273","Emissions (CO2)","6751","Forestland","2007","2007","3050","FAO TIER 1","kilotonnes","-41464.6137","E","Estimated value",""
"GT","Emissions totals","036","Australia","7273","Emissions (CO2)","6751","Forestland","2008","2008","3050","FAO TIER 1","kilotonnes","-41464.6137","E","Estimated value",""
"GT","Emissions totals","036","Australia","7273","Emissions (CO2)","6751","Forestland","2009","2009","3050","FAO TIER 1","kilotonnes","-41464.6137","E","Estimated value",""
"GT","Emissions totals","036","Australia","7273","Emissions (CO2)","6751","Forestland","2010","2010","3050","FAO TIER 1","kilotonnes","-41464.6137","E","Estimated value",""
"GT","Emissions totals","036","Australia","7273","Emissions (CO2)","6751","Forestland","2011","2011","3050","FAO TIER 1","kilotonnes","-31963.9195","E","Estimated value",""
"GT","Emissions totals","036","Australia","7273","Emissions (CO2)","6751","Forestland","2012","2012","3050","FAO TIER 1","kilotonnes","-31963.9195","E","Estimated value",""
"GT","Emissions totals","036","Australia","7273","Emissions (CO2)","6751","Forestland","2013","2013","3050","FAO TIER 1","kilotonnes","-31963.9195","E","Estimated value",""
"GT","Emissions totals","036","Australia","7273","Emissions (CO2)","6751","Forestland","2014","2014","3050","FAO TIER 1","kilotonnes","-31963.9195","E","Estimated value",""
"GT","Emissions totals","036","Australia","7273","Emissions (CO2)","6751","Forestland","2015","2015","3050","FAO TIER 1","kilotonnes","-31963.9195","E","Estimated value",""
"GT","Emissions totals","036","Australia","7273","Emissions (CO2)","6751","Forestland","2016","2016","3050","FAO TIER 1","kilotonnes","-1585.0912","E","Estimated value",""
"GT","Emissions totals","036","Australia","7273","Emissions (CO2)","6751","Forestland","2017","2017","3050","FAO TIER 1","kilotonnes","-1585.0912","E","Estimated value",""
"GT","Emissions totals","036","Australia","7273","Emissions (CO2)","6751","Forestland","2018","2018","3050","FAO TIER 1","kilotonnes","-1585.0912","E","Estimated value",""
"GT","Emissions totals","036","Australia","7273","Emissions (CO2)","6751","Forestland","2019","2019","3050","FAO TIER 1","kilotonnes","-1585.0912","E","Estimated value",""
"GT","Emissions totals","036","Australia","7273","Emissions (CO2)","6751","Forestland","2020","2020","3050","FAO TIER 1","kilotonnes","-1585.0912","E","Estimated value",""
