Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2023-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Region,IncomeGroup,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,SpecialNotes
Aruba,ABW,Latin America & Caribbean,High income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,,,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,807005.448,811077.424,816599.702,828625.173,849486.628,875560.899,892353.964,917548.316,956132.82,942633.426,945989.989,985422.49,1031929.937,1072741.168,1115896.931,1142840.5,1143611.367,1207472.76,1266988.77,1250165.246,1306066.512,1308588.962,1318882.324,1342561.254,1370939.942,1369675.824,1385486.016,1401170.182,1407683.274,1427211.167,,,,"26 countries, stretching from the Red Sea in the North to the Cape of Good Hope in the South (https://www.worldbank.org/en/region/afr/eastern-and-southern-africa)"
Afghanistan,AFG,South Asia,Low income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,11968.96,12198.49,11416.53,11498.15,11535.34,11969.91,12999.5,13970.98,14785.74,15672.03,13887.43,12250.96,14885.99,15526.53,15314.31,16226.06,16744.57,17142.45,20538.19,22632.53,27115.9,29413.06,28800.07,27015.2,26764.02,27086.07,26894,26526.93,27689.58,28636.5,,,,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: March 20). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).

In addition, the World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1960-2006. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
Africa Western and Central,AFW,,,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,398318.783,434782.944,456642.839,457076.536,513848.29,523909.762,551814.856,552241.933,549461.908,545494.602,569414.154,572108.351,561891.56,594766.335,600378.92,623353.062,617153.906,610341.497,623933.639,614410.01,657491.755,678131.013,691340.843,718852.122,738371.489,748333.11,781933.142,790780.823,812785.449,833825.127,,,,"22 countries, stretching from the westernmost point of Africa, across the equator, and partly along the Atlantic Ocean till the Republic of Congo in the South (https://www.worldbank.org/en/region/afr/western-and-central-africa)"
Angola,AGO,Sub-Saharan Africa,Lower middle income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,43154.43,43582.43,44289.45,47265.42,50160.45,53315.93,54673.12,55455.42,59691.01,58637.99,57643.98,57754.84,60207.05,65723.46,67433.89,66959.7,65858.47,70197.19,72684.07,73798.01,77728.67,79152.2,77403.95,81092.57,82391.11,87360.5,85911.42,81013.1,75235.33,79678.73,,,,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1994-2021. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
Albania,ALB,Europe & Central Asia,Upper middle income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,11097.69,8755.214,6748.283,6717.65,7541.876,7374.287,7087.288,6353.652,6602.177,7817.44,8135.064,8114.344,8750.98,9087.252,9164.808,8945.949,8845.088,8862.187,8599.893,8638.802,8899.166,9331.294,8879.601,8930.465,9363.005,9223.67,9087.428,9656.962,9453.678,9008.165,,,,
Andorra,AND,Europe & Central Asia,High income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,430.703,432.466,434.228,439.654,437.753,457.835,493.418,510.681,542.6,570.855,588.118,592.75,604.71,613.006,643.286,662.574,637.875,635.16,639.773,622.402,627.015,602.069,599.107,588.817,574.863,579.229,585.851,585.144,617.414,627.58,,,,
Arab World,ARB,,,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,1115031.335,1103964.395,1174959.382,1257578.213,1326615.938,1368394.411,1414423.618,1481184.053,1516102.054,1542421.226,1611571.159,1654752.199,1690311.511,1739154.491,1821160.916,1921044.284,1999779.861,2062052.022,2186109.353,2228813.518,2337484.873,2363630.754,2537127.85,2562258.223,2620240.05,2685779.643,2744487.038,2796748.201,2804911.081,2881819.784,,,,Arab World aggregate. Arab World is composed of members of the League of Arab States.
United Arab Emirates,ARE,Middle East & North Africa,High income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,73251.64,81067.95,79192.71,83618.07,92204.81,97341.08,101712.7,104946.8,106991.1,108829.5,109015.4,123084.4,125395.7,133422,141214,150104,157122.2,168245,194018.5,194379.1,201892.5,207492.6,219589.8,230889.5,231796.4,245221.6,252918.7,248686.3,229383.3,243546.7,,,,
Argentina,ARG,Latin America & Caribbean,Upper middle income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,247302.9,251724.3,256243.3,256815.3,260198.3,262786.5,271992.6,276766.7,282381.4,288709.9,290822.9,284140.3,280476.2,302567.4,318699.1,322740.5,337254.6,349821.8,354272.5,333819,339607,350250.4,355296.7,364479.9,363148.8,370000.9,373332.2,377205.7,375101.1,369051.9,,,,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1971-2018. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
